Name,CleanedName,KatakanaName_Auto,ManualKatakana,Core_Katakana
Techfirm Holdings Inc.,Techfirm,TECHFIRM,テックファーム,テックファーム
TIS Inc.,TIS,TIS,ティーアイエス,ティーアイエス
JNS HOLDINGS INC.,JNS,JNS,ジェイエヌエス,ジェイエヌエス
"DATA HORIZON CO.,LTD.",DATA HORIZON,DATA HORIZON,データホライゾン,データホライゾン
"Densan System Co.,Ltd.",Densan System,DENSAN SYSTEM,デンサンシステム,デンサンシステム
"GREE,Inc.",GREE,GREE,グリー,グリー
"GMO Pepabo,Inc.",GMO Pepabo,GMO PEPABO,ジーエムオーペパボ,ジーエムオーペパボ
Sockets Inc.,Sockets,SOCKETS,ソケッツ,ソケッツ
"KOEI TECMO HOLDINGS CO.,LTD.",KOEI TECMO,KOEI TECMO,コーエーテクモ,コーエーテクモ
"Mitsubishi Research Institute,Inc.",Mitsubishi Research Institute,MITSUBISHI RESEARCH INSTITUTE,ミツビシソウゴウケンキュウジョ,ミツビシソウケン
Voltage Incorporation,Voltage Incorporation,VOLTAGE INCORPORATION,ボルテージ,ボルテージ
"DENSAN CO.,LTD.",DENSAN,DENSAN,デンサン,デンサン
"PAPYLESS CO.,LTD.",PAPYLESS,PAPYLESS,パピレス,パピレス
"Medical Net,Inc.",Medical Net,MEDICAL NET,メディカルネット,メディカルネット
"Ekitan & Co.,Ltd.",Ekitan,EKITAN,エキタン,エキタン
G Three Holdings CORPORATION,G Three,G THREE,ジースリー,ジースリー
AGS Corporation,AGS,AGS,エージーエス,エージーエス
FINDEX Inc.,FINDEX,FINDEX,フィンデックス,フィンデックス
Digital Media Professionals Inc.,Digital Media Professionals,DIGITAL MEDIA PROFESSIONALS,デジタルメディアプロフェッショナル,デジタルメディアプロフェッショナル
"Morpho,Inc.",Morpho,MORPHO,モルフォ,モルフォ
"HITO-Communications,Inc.",HITO Communications,HITO COMMUNICATIONS,ヒトコミュニケーションズ,ヒトコミュニケーションズ
BrainPad Inc.,BrainPad,BRAINPAD,ブレインパッド,ブレインパッド
KLab Inc.,KLab,KLAB,クラブ,クラブ
"Poletowin Pitcrew Holdings,Inc.",Poletowin Pitcrew,POLETOWIN PITCREW,ポールトゥウィンピットクルー,ポールトゥウィンピットクルー
"eBOOK Initiative Japan CO.,LTD.",eBOOK Initiative Japan,EBOOK INITIATIVE JAPAN,イーブックイニシアティブジャパン,イーブックイニシアティブジャパン
"NEXON Co.,Ltd.",NEXON,NEXON,ネクソン,ネクソン
istyle Inc.,istyle,ISTYLE,アイスタイル,アイスタイル
"m-up holdings,Inc.",m up,M UP,エムアップ,エムアップ
Ateam Inc.,Ateam,ATEAM,エイチーム,エイチーム
ArtSpark Holdings Inc.,ArtSpark,ARTSPARK,アートスパーク,アートスパーク
MOBCAST HOLDINGS INC.,MOBCAST,MOBCAST,モブキャスト,モブキャスト
Enigmo Inc.,Enigmo,ENIGMO,エニグモ,エニグモ
TECNOS JAPAN INCORPORATED,TECNOS JAPAN INCORPORATED,TECNOS JAPAN INCORPORATED,テクノスジャパン,テクノスジャパン
"enish,inc.",enish,ENISH,エニッシュ,エニッシュ
"COLOPL,Inc.",COLOPL,COLOPL,コロプラ,コロプラ
"Mobile Create Co.,Ltd.",Mobile Create,MOBILE CREATE,モバイルクリエイト,モバイルクリエイト
"Kyoritsu Computer & Communication Co.,Ltd.",Kyoritsu Computer Communication,KYORITSU COMPUTER COMMUNICATION,キョウリツコンピュータコミュニケーション,キョウリツコンピュータコミュニケーション
"SOFTMAX CO.,LTD",SOFTMAX LTD,SOFTMAX LTD,ソフトマックス,ソフトマックス
AltPlusInc.,AltPlusInc,ALTPLUSINC,アルトプラス,アルトプラス
"Broadleaf Co.,Ltd.",Broadleaf,BROADLEAF,ブロードリーフ,ブロードリーフ
"Aucfan Co.,Ltd.",Aucfan,AUCFAN,オークファン,オークファン
Cross Marketing Group Inc.,Cross Marketing,CROSS MARKETING,クロスマーケティング,クロスマーケティング
"DIGITAL HEARTS HOLDINGS Co.,Ltd.",DIGITAL HEARTS,DIGITAL HEARTS,デジタルハーツ,デジタルハーツ
"SYSTEM INFORMATION CO.,LTD.",SYSTEM INFORMATION,SYSTEM INFORMATION,システムインフォメーション,システムインフォメーション
"MEDIA DO Co.,Ltd.",MEDIA DO,MEDIA DO,メディアドゥ,メディアドゥ
"ZIGExN Co.,Ltd.",ZIGExN,ZIGEXN,ジゲン,ジゲン
Hotto Link Inc.,Hotto Link,HOTTO LINK,ホットリンク,ホットリンク
"V-cube,Inc.",V cube,V CUBE,ブイキューブ,ブイキューブ
"Encourage Technologies Co.,Ltd.",Encourage Technologies,ENCOURAGE TECHNOLOGIES,エンカレッジテクノロジーズ,エンカレッジテクノロジーズ
"CYBERLINKS CO.,LTD.",CYBERLINKS,CYBERLINKS,サイバーリンクス,サイバーリンクス
DLE Inc.,DLE,DLE,ディーエルイー,ディーエルイー
Fixstars Corporation,Fixstars,FIXSTARS,フィックスターズ,フィックスターズ
"CARTA HOLDINGS,INC.",CARTA,CARTA,カルタ,カルタ
YRGLM Inc.,YRGLM,YRGLM,イルグルム,イルグルム
"REALWORLD,inc.",REALWORLD,REALWORLD,リアルワールド,リアルワールド
"FFRI Security,Inc.",FFRI Security,FFRI SECURITY,エフエフアールアイセキュリティ,エフエフアールアイセキュリティ
OPTiM CORPORATION,OPTiM,OPTIM,オプティム,オプティム
"GMO Research,Inc.",GMO Research,GMO RESEARCH,ジーエムオーリサーチ,ジーエムオーリサーチ
CERES INC.,CERES,CERES,セレス,セレス
SHIFT Inc.,SHIFT,SHIFT,シフト,シフト
"CRI Middleware Co.,Ltd.",CRI Middleware,CRI MIDDLEWARE,シーアールアイミドルウェア,シーアールアイミドルウェア
"Jorudan Co.,Ltd.",Jorudan,JORUDAN,ジョルダン,ジョルダン
"Information Planning CO.,LTD.",Information Planning,INFORMATION PLANNING,インフォメーションプランニング,インフォメーションプランニング
"GEXEED CO.,LTD.",GEXEED,GEXEED,ジェクシード,ジェクシード
NIHON FALCOM CORPORATION,NIHON FALCOM,NIHON FALCOM,ニホンファルコム,ニホンファルコム
VeriServe Corporation,VeriServe,VERISERVE,ベリサーブ,ベリサーブ
Aplix Corporation,Aplix,APLIX,アプリックス,アプリックス
"Software Service,Inc.",Software Service,SOFTWARE SERVICE,ソフトウェアサービス,ソフトウェアサービス
T-Gaia Corporation,T Gaia,T GAIA,ティーガイア,ティーガイア
"Systems Engineering Consultants Co.,LTD.",Systems Engineering Consultants,SYSTEMS ENGINEERING CONSULTANTS,セック,セック
SIOS Corporation,SIOS,SIOS,サイオス,サイオス
"INTERTRADE Co.,Ltd.",INTERTRADE,INTERTRADE,インタートレード,インタートレード
FRACTALE Corporation,FRACTALE,FRACTALE,フラクタル,フラクタル
Japan Asia Group Limited,Japan Asia Limited,JAPAN ASIA LIMITED,ジャパンアジア,ジャパンアジア
FLIGHT HOLDINGS Inc.,FLIGHT,FLIGHT,フライト,フライト
"MAMEZOU HOLDINGS CO.,LTD.",MAMEZOU,MAMEZOU,マメゾウ,マメゾウ
Aeria Inc.,Aeria,AERIA,エイリア,エイリア
"CAVE Interactive CO.,LTD.",CAVE Interactive,CAVE INTERACTIVE,ケイブインタラクティブ,ケイブインタラクティブ
TECHMATRIX CORPORATION,TECHMATRIX,TECHMATRIX,テクマトリックス,テクマトリックス
Pro-Ship Incorporated,Pro Ship Incorporated,PRO SHIP INCORPORATED,プロシップ,プロシップ
"GungHo Online Entertainment,Inc.",GungHo Online Entertainment,GUNGHO ONLINE ENTERTAINMENT,ガンホーオンラインエンターテイメント,ガンホーオンラインエンターテイメント
"SYSTEMS DESIGN Co.,Ltd.",SYSTEMS DESIGN,SYSTEMS DESIGN,システムズデザイン,システムズデザイン
Riskmonster.com,Riskmonster com,RISKMONSTER COM,リスクモンスター,リスクモンスター
"GMO Payment Gateway,Inc.",GMO Payment Gateway,GMO PAYMENT GATEWAY,ジーエムオーペイメントゲートウェイ,ジーエムオーペイメントゲートウェイ
"ZAPPALLAS,INC.",ZAPPALLAS,ZAPPALLAS,ザッパラス,ザッパラス
"SYSTEM RESEARCH CO.,LTD.",SYSTEM RESEARCH,SYSTEM RESEARCH,システムリサーチ,システムリサーチ
"Advanced Media,Inc.",Advanced Media,ADVANCED MEDIA,アドバンストメディア,アドバンストメディア
Internet Initiative Japan Inc.,Internet Initiative Japan,INTERNET INITIATIVE JAPAN,インターネットイニシアティブジャパン,インターネットイニシアティブジャパン
"BroadBand Tower,Inc.",BroadBand Tower,BROADBAND TOWER,ブロードバンドタワー,ブロードバンドタワー
FHT holdings Corp.,FHT Corp,FHT CORP,エフエイチティー,エフエイチティー
SAKURA internet Inc.,SAKURA internet,SAKURA INTERNET,サクラインターネット,サクラインターネット
"J ESCOM HOLDINGS,INC.",J ESCOM,J ESCOM,ジェイエスコム,ジェイエスコム
"DDS,Inc.",DDS,DDS,ディーディーエス,ディーディーエス
VINX CORP.,VINX CORP,VINX CORP,ヴィンクス,ヴィンクス
"Techno Mathematical Co.,Ltd.",Techno Mathematical,TECHNO MATHEMATICAL,テクノマセマティカル,テクノマセマティカル
GMO GlobalSign Holdings K.K.,GMO GlobalSign K K,GMO GLOBALSIGN K K,ジーエムオーグローバルサイン,ジーエムオーグローバルサイン
"IG Port,Inc.",IG Port,IG PORT,アイジーポート,アイジーポート
"Drecom Co.,Ltd.",Drecom,DRECOM,ドリコム,ドリコム
"e-Seikatsu Co.,Ltd.",e Seikatsu,E SEIKATSU,イーセイカツ,イーセイカツ
"ULS Group,Inc.",ULS,ULS,ユーエルエス,ユーエルエス
Keyware Solutions Inc.,Keyware Solutions,KEYWARE SOLUTIONS,キーウェアソリューションズ,キーウェアソリューションズ
UNIRITA Inc.,UNIRITA,UNIRITA,ユニリタ,ユニリタ
"ECOMIC CO.,LTD",ECOMIC LTD,ECOMIC LTD,エコミック,エコミック
Image Information Inc.,Image Information,IMAGE INFORMATION,イメージインフォメーション,イメージインフォメーション
System D Inc.,System D,SYSTEM D,システムディー,システムディー
FISCO Ltd.,FISCO,FISCO,フィスコ,フィスコ
"CyberStep,Inc.",CyberStep,CYBERSTEP,サイバーステップ,サイバーステップ
"Alphax Food System Co.,LTD",Alphax Food System LTD,ALPHAX FOOD SYSTEM LTD,アルファックスフードシステム,アルファックスフードシステム
"Media Kobo,Inc.",Media Kobo,MEDIA KOBO,メディアコウボウ,メディアコウボウ
"DAIWA COMPUTER CO.,LTD.",DAIWA COMPUTER,DAIWA COMPUTER,ダイワコンピュータ,ダイワコンピュータ
"SRA Holdings,Inc.",SRA,SRA,エスアールエー,エスアールエー
"Minori Solutions Co.,Ltd.",Minori Solutions,MINORI SOLUTIONS,ミノリソリューションズ,ミノリソリューションズ
"Acrodea,Inc.",Acrodea,ACRODEA,アクロディア,アクロディア
"Remixpoint,inc.",Remixpoint,REMIXPOINT,リミックスポイント,リミックスポイント
System Integrator Corp.,System Integrator Corp,SYSTEM INTEGRATOR CORP,システムインテグレータ,システムインテグレータ
"Asahi Net,Inc.",Asahi Net,ASAHI NET,アサヒネット,アサヒネット
"eBASE Co.,Ltd.",eBASE,EBASE,イーベース,イーベース
AVANT CORPORATION,AVANT,AVANT,アバント,アバント
Ad-Sol Nissin Corporation,Ad Sol Nissin,AD SOL NISSIN,アドソルニッシン,アドソルニッシン
"ODK Solutions Company,Ltd.",ODK Solutions Company,ODK SOLUTIONS COMPANY,オーディーケーソリューションズ,オーディーケーソリューションズ
PATH Corporation,PATH,PATH,パス,パス
Jedat Inc.,Jedat,JEDAT,ジーダット,ジーダット
"Nextgen,Inc.",Nextgen,NEXTGEN,ネクストジェン,ネクストジェン
"FreeBit Co.,Ltd.",FreeBit,FREEBIT,フリービット,フリービット
COMTURE CORPORATION,COMTURE,COMTURE,コムチュア,コムチュア
I-FREEK MOBILE INC.,I FREEK MOBILE,I FREEK MOBILE,アイフリークモバイル,アイフリークモバイル
PACIFIC SYSTEMS CORPORATION,PACIFIC SYSTEMS,PACIFIC SYSTEMS,パシフィックシステムズ,パシフィックシステムズ
"Data Applications Company,Limited",Data Applications Company Limited,DATA APPLICATIONS COMPANY LIMITED,データアプリケーション,データアプリケーション
NTT DATA INTRAMART CORPORATION,NTT DATA INTRAMART,NTT DATA INTRAMART,イントラマート,イントラマート
"Nippon Ichi Software,Inc.",Nippon Ichi Software,NIPPON ICHI SOFTWARE,ニッポンイチソフトウェア,ニッポンイチソフトウェア
"Cyber Com Co.,Ltd.",Cyber Com,CYBER COM,サイバーコム,サイバーコム
ASTERIA Corporation,ASTERIA,ASTERIA,アステリア,アステリア
I'LL INC,I'LL INC,I'LL INC,アイル,アイル
"LAC Co.,Ltd.",LAC,LAC,ラック,ラック
Ubiquitous AI Corporation,Ubiquitous AI,UBIQUITOUS AI,ユビキタスエーアイ,ユビキタスエーアイ
CrowdWorks Inc.,CrowdWorks,CROWDWORKS,クラウドワークス,クラウドワークス
"MarkLines Co.,Ltd.",MarkLines,MARKLINES,マークラインズ,マークラインズ
"Medical Data Vision Co.,Ltd.",Medical Data Vision,MEDICAL DATA VISION,メディカルデータビジョン,メディカルデータビジョン
gumi Inc.,gumi,GUMI,グミ,グミ
KAYAC Inc.,KAYAC,KAYAC,カヤック,カヤック
Datasection Inc.,Datasection,DATASECTION,データセクション,データセクション
ALBERT Inc.,ALBERT,ALBERT,アルベルト,アルベルト
Silicon Studio Corp.,Silicon Studio Corp,SILICON STUDIO CORP,シリコンスタジオ,シリコンスタジオ
Collabos Corporation,Collabos,COLLABOS,コラボス,コラボス
Showcase Inc.,Showcase,SHOWCASE,ショーケース,ショーケース
MKSystem Corporation,MKSystem,MKSYSTEM,エムケイシステム,エムケイシステム
Aiming Inc.,Aiming,AIMING,エイミング,エイミング
"Mobile Factory,Inc.",Mobile Factory,MOBILE FACTORY,モバイルファクトリー,モバイルファクトリー
"sMedio,Inc.",sMedio,SMEDIO,エスメディオ,エスメディオ
JIG-SAW INC.,JIG SAW,JIG SAW,ジグソー,ジグソー
"TerraSky Co.,Ltd",TerraSky Ltd,TERRASKY LTD,テラスカイ,テラスカイ
Digital Information Technologies Corporation,Digital Information Technologies,DIGITAL INFORMATION TECHNOLOGIES,デジタルインフォメーションテクノロジーズ,デジタルインフォメーションテクノロジーズ
"iRidge,Inc.",iRidge,IRIDGE,アイリッジ,アイリッジ
"PCI Holdings,INC.",PCI,PCI,ピーシーアイ,ピーシーアイ
"PiPEDO HD,Inc.",PiPEDO HD,PIPEDO HD,パイプド,パイプド
"Internetworking and Broadband Consulting Co.,Ltd.",Internetworking and Broadband Consulting,INTERNETWORKING AND BROADBAND CONSULTING,ンターネットワーキングアンドブロードバンドコンサルティング,ンターネットワーキングアンドブロードバンドコンサルティング
NEOJAPAN Inc.,NEOJAPAN,NEOJAPAN,ネオジャパン,ネオジャパン
"PR TIMES,Inc.",PR TIMES,PR TIMES,ピーアールタイムス,ピーアールタイムス
"RAKUS Co.,Ltd.",RAKUS,RAKUS,ラクス,ラクス
"R&D COMPUTER CO.,LTD.",R D COMPUTER,R D COMPUTER,アールアンドディーコンピュータ,アールアンドディーコンピュータ
Double Standard Inc.,Double Standard,DOUBLE STANDARD,ダブルスタンダード,ダブルスタンダード
Open Door Inc.,Open Door,OPEN DOOR,オープンドア,オープンドア
Fuva Brain Limited,Fuva Brain Limited,FUVA BRAIN LIMITED,フーバブレイン,フーバブレイン
Mynet Inc.,Mynet,MYNET,マイネット,マイネット
"SOCIALWIRE CO.,LTD.",SOCIALWIRE,SOCIALWIRE,ソーシャルワイヤー,ソーシャルワイヤー
"Hatena Co.,Ltd.",Hatena,HATENA,ハテナ,ハテナ
VALUE GOLF Inc.,VALUE GOLF,VALUE GOLF,バリューゴルフ,バリューゴルフ
Akatsuki Inc.,Akatsuki,AKATSUKI,アカツキ,アカツキ
"CHIeru Co.,Ltd.",CHIeru,CHIERU,チエル,チエル
"BENEFIT JAPAN Co.,LTD.",BENEFIT JAPAN,BENEFIT JAPAN,ベネフィットジャパン,ベネフィットジャパン
"Edia Co.,Ltd.",Edia,EDIA,エディア,エディア
"Globalway,Inc.",Globalway,GLOBALWAY,グローバルウェイ,グローバルウェイ
"Ubicom Holdings,Inc.",Ubicom,UBICOM,ユビコム,ユビコム
LINE Corporation,LINE,LINE,ライン,ライン
"Kanamic Network Co.,LTD",Kanamic Network LTD,KANAMIC NETWORK LTD,カナミックネットワーク,カナミックネットワーク
"Nomura System Corporation Co,Ltd.",Nomura System Co,NOMURA SYSTEM CO,ノムラシステム,ノムラシステム
VALUEDESIGN INC.,VALUEDESIGN,VALUEDESIGN,バリューデザイン,バリューデザイン
"Silver Egg Technology CO.,Ltd.",Silver Egg Technology,SILVER EGG TECHNOLOGY,シルバーエッグテクノロジー,シルバーエッグテクノロジー
CHANGE Inc.,CHANGE,CHANGE,チェンジ,チェンジ
"Synchro Food Co.,Ltd.",Synchro Food,SYNCHRO FOOD,シンクロフード,シンクロフード
AUCNET INC.,AUCNET,AUCNET,オークネット,オークネット
"Capital Asset Planning,Inc.",Capital Asset Planning,CAPITAL ASSET PLANNING,キャピタルアセットプランニング,キャピタルアセットプランニング
"Uzabase,Inc.",Uzabase,UZABASE,ユーザベース,ユーザベース
"Eltes Co.,Ltd.",Eltes,ELTES,エルテス,エルテス
"Segue Group Co.,Ltd.",Segue,SEGUE,セグエ,セグエ
ATLED CORP.,ATLED CORP,ATLED CORP,エイトレッド,エイトレッド
Innovation Inc.,Innovation,INNOVATION,イノベーション,イノベーション
TBCSCAT Inc.,TBCSCAT,TBCSCAT,ティビィシィスキヤツト,ティビィシィスキヤツト
AOI TYO Holdings Inc.,AOI TYO,AOI TYO,アオイティーワイオー,アオイティーワイオー
SHANON Inc.,SHANON,SHANON,シャノン,シャノン
"MACROMILL,INC.",MACROMILL,MACROMILL,マクロミル,マクロミル
"ULURU.CO.,LTD.",ULURU,ULURU,ウルル,ウルル
Beaglee Inc.,Beaglee,BEAGLEE,ビーグリー,ビーグリー
"ORO Co.,Ltd.",ORO,ORO,オロ,オロ
"User Local,Inc.",User Local,USER LOCAL,ユーザーローカル,ユーザーローカル
TEMONA.inc.,TEMONA,TEMONA,テモナ,テモナ
"bBreak Systems Company,Limited",bBreak Systems Company Limited,BBREAK SYSTEMS COMPANY LIMITED,ビーブレイクシステムズ,ビーブレイクシステムズ
Ecomott Inc.,Ecomott,ECOMOTT,エコモット,エコモット
"SYS Holdings Co.,Ltd.",SYS,SYS,エスワイエス,エスワイエス
SHARINGTECHNOLOGY.INC,SHARINGTECHNOLOGY INC,SHARINGTECHNOLOGY INC,シェアリングテクノロジー,シェアリングテクノロジー
"UUUM Co.,Ltd.",UUUM,UUUM,ウーム,ウーム
"Wantedly,Inc",Wantedly Inc,WANTEDLY INC,ウォンテッドリー,ウォンテッドリー
Needs Well Inc.,Needs Well,NEEDS WELL,ニーズウェル,ニーズウェル
PKSHA Technology Inc.,PKSHA Technology,PKSHA TECHNOLOGY,パークシャテクノロジー,パークシャテクノロジー
"Money Forward,Inc.",Money Forward,MONEY FORWARD,マネーフォワード,マネーフォワード
SKIYAKI Inc.,SKIYAKI,SKIYAKI,スキヤキ,スキヤキ
Signpost Corporation,Signpost,SIGNPOST,サインポスト,サインポスト
"TRADE WORKS Co.,Ltd",TRADE WORKS Ltd,TRADE WORKS LTD,トレードワークス,トレードワークス
"SuRaLa Net Co.,Ltd.",SuRaLa Net,SURALA NET,スララネット,スララネット
KnowledgeSuite Inc.,KnowledgeSuite,KNOWLEDGESUITE,ナレッジスイート,ナレッジスイート
"Headwaters Co.,Ltd",Headwaters Ltd,HEADWATERS LTD,ヘッドウォータース,ヘッドウォータース
"AXIS CO.,LTD.",AXIS,AXIS,アクシス,アクシス
"Kinjiro Co.,Ltd.",Kinjiro,KINJIRO,キンジロウ,キンジロウ
"KARADANOTE,INC.",KARADANOTE,KARADANOTE,カラダノート,カラダノート
arara inc.,arara,ARARA,アララ,アララ
"MIT Holdings CO.,LTD.",MIT,MIT,エムアイティー,エムアイティー
CREEMA LTD.,CREEMA,CREEMA,クリーマ,クリーマ
"Stamen Co.,Ltd.",Stamen,STAMEN,スタメン,スタメン
BETREND CORPORATION,BETREND,BETREND,ビートレンド,ビートレンド
"GMO Financial Gate,Inc.",GMO Financial Gate,GMO FINANCIAL GATE,ジーエムオーフィナンシャルゲート,ジーエムオーフィナンシャルゲート
Ficha Inc.,Ficha,FICHA,フィチャ,フィチャ
Sun* Inc.,Sun*,SUN*,サンアスタリスク,サンアスタリスク
"Nihon Jyoho Create Co.,Ltd.",Nihon Jyoho Create,NIHON JYOHO CREATE,ニホンジョウホウクリエイト,ニホンジョウホウクリエイト
T&S inc.,T S,T S,ティーアンドエス,ティーアンドエス
Neural Pocket Inc.,Neural Pocket,NEURAL POCKET,ニューラルポケット,ニューラルポケット
"Interfactory,Inc.",Interfactory,INTERFACTORY,インターファクトリー,インターファクトリー
"Toyokumo,Inc.",Toyokumo,TOYOKUMO,トヨクモ,トヨクモ
"Magmag,Inc.",Magmag,MAGMAG,マグマグ,マグマグ
rakumo Inc.,rakumo,RAKUMO,ラクモ,ラクモ
Basis Corporation,Basis,BASIS,ベイシス,ベイシス
BlueMeme Inc.,BlueMeme,BLUEMEME,ブルーミーム,ブルーミーム
"Plus Alpha Consulting Co.,LTD.",Plus Alpha Consulting,PLUS ALPHA CONSULTING,プラスアルファコンサルティング,プラスアルファコンサルティング
"Densan System Holdings Co.,Ltd.",Densan System,DENSAN SYSTEM,デンサンシステム,デンサンシステム
"Global Communication Planning Co.,Ltd.",Global Communication Planning,GLOBAL COMMUNICATION PLANNING,グローバルコミュニケーションプランニング,グローバルコミュニケーションプランニング
"LaKeel,Inc.",LaKeel,LAKEEL,ラキール,ラキール
"Brains Technology,Inc.",Brains Technology,BRAINS TECHNOLOGY,ブレインズテクノロジー,ブレインズテクノロジー
"CNS Co.,Ltd.",CNS,CNS,シーエヌエス,シーエヌエス
"PLAID,Inc.",PLAID,PLAID,プレイド,プレイド
Cacco Inc.,Cacco,CACCO,カッコ,カッコ
Kokopelli Inc.,Kokopelli,KOKOPELLI,ココペリ,ココペリ
"Yappli,Inc.",Yappli,YAPPLI,ヤプリ,ヤプリ
ENECHANGE Ltd.,ENECHANGE,ENECHANGE,イーネチェンジ,イーネチェンジ
"Kaizen Platform,Inc.",Kaizen Platform,KAIZEN PLATFORM,カイゼンプラットフォーム,カイゼンプラットフォーム
"Global Information,Inc.",Global Information,GLOBAL INFORMATION,グローバルインフォメーション,グローバルインフォメーション
"TOWA Hi SYSTEM CO.,LTD.",TOWA Hi SYSTEM,TOWA HI SYSTEM,トーワハイシステム,トーワハイシステム
WACUL.INC,WACUL INC,WACUL INC,ワカル,ワカル
Appirits Inc.,Appirits,APPIRITS,アピリッツ,アピリッツ
coly Inc.,coly,COLY,コリー,コリー
coconala Inc.,coconala,COCONALA,ココナラ,ココナラ
"i-plug,Inc.",i plug,I PLUG,アイプラグ,アイプラグ
Sharing Innovations Inc.,Sharing Innovations,SHARING INNOVATIONS,シェアリングイノベーションズ,シェアリングイノベーションズ
G-NEXT Inc.,G NEXT,G NEXT,ジーネクスト,ジーネクスト
"Appier Group,Inc.",Appier,APPIER,アピア,アピア
SpiderPlus & Co.,SpiderPlus,SPIDERPLUS,スパイダープラス,スパイダープラス
"Fabrica Communications Co.,LTD.",Fabrica Communications,FABRICA COMMUNICATIONS,ファブリカコミュニケーションズ,ファブリカコミュニケーションズ
"Visional,Inc.",Visional,VISIONAL,ビジョナル,ビジョナル
NEO MARKETING Inc.,NEO MARKETING,NEO MARKETING,ネオマーケティング,ネオマーケティング
"TENDA Co.,LTD.",TENDA,TENDA,テンダ,テンダ
WonderPlanet Inc.,WonderPlanet,WONDERPLANET,ワンダープラネット,ワンダープラネット
"HCS HOLDINGS CO.,LTD.",HCS,HCS,エイチシーエス,エイチシーエス
THECOO Inc.,THECOO,THECOO,ザクー,ザクー
"CYND Co.,Ltd.",CYND,CYND,シンド,シンド
AMIYA Corporation,AMIYA,AMIYA,アミヤ,アミヤ
ExaWizards Inc.,ExaWizards,EXAWIZARDS,エクサウィザーズ,エクサウィザーズ
"Hybrid Technologies Co.,Ltd.",Hybrid Technologies,HYBRID TECHNOLOGIES,ハイブリッドテクノロジーズ,ハイブリッドテクノロジーズ
"AsiaQuest Co.,Ltd.",AsiaQuest,ASIAQUEST,アジアクエスト,アジアクエスト
"NIFTY Lifestyle Co.,Ltd.",NIFTY Lifestyle,NIFTY LIFESTYLE,ニフティライフスタイル,ニフティライフスタイル
"SUSMED,Inc.",SUSMED,SUSMED,サスメド,サスメド
"SECURE,INC.",SECURE,SECURE,セキュア,セキュア
